Voltage (V),Current (mA)
0.108,-0.0
0.205,0.0
0.302,0.0
0.399,-0.002
0.494,-0.01
0.584,-0.007
0.684,-0.012
0.78,-0.002
0.903,0.001
1.014,0.003
1.108,0.0
1.204,0.0
1.305,0.004
1.4,-0.003
1.485,0.01
1.585,-0.004
1.657,0.219
1.701,0.589
1.73,1.026
1.747,1.564
1.775,2.058
1.781,2.573
1.808,3.08
1.82,3.571
1.825,4.149
1.847,4.631
1.857,5.193
1.868,5.705
1.879,6.288
1.89,6.931
1.899,7.477
1.911,7.967
1.921,8.544
1.932,9.083
1.942,9.63
1.95,10.168
1.96,10.717
1.969,11.258
1.976,11.808
1.988,12.483
1.997,12.994
2.004,13.558
2.014,14.105
2.022,14.696
2.03,15.22
2.038,15.784
2.048,16.337
2.055,16.9
2.063,17.454
2.074,18.121
