Voltage (V),Current (mA)
0.011,0.0
0.106,-0.0
0.204,0.0
0.3,-0.001
0.4,-0.007
0.493,0.009
0.578,0.007
0.683,0.002
0.792,0.0
0.898,0.007
1.011,-0.004
1.094,0.0
1.185,0.0
1.281,0.001
1.402,-0.001
1.497,0.003
1.58,-0.004
1.661,0.199
1.69,0.523
1.73,0.961
1.752,1.554
1.779,2.052
1.794,2.538
1.801,3.017
1.826,3.593
1.835,4.05
1.85,4.639
1.86,5.175
1.872,5.691
1.879,6.246
1.896,6.868
1.904,7.43
1.916,7.963
1.926,8.503
1.936,9.047
1.945,9.587
1.955,10.14
1.964,10.698
1.973,11.239
1.982,11.779
1.992,12.461
1.999,12.978
2.009,13.515
2.016,14.087
2.024,14.659
2.033,15.212
2.042,15.764
2.049,16.319
2.058,16.872
2.067,17.435
2.077,18.1
