Voltage (V),Current (mA)
0.108,0
0.2,-0.001
0.297,-0.002
0.391,-0.009
0.487,-0.01
0.587,-0.003
0.68,0
0.792,0
0.887,-0.004
1.011,-0.003
1.093,0.002
1.208,-0.005
1.3,-0.009
1.377,-0.001
1.496,-0.004
1.592,0
1.691,-0.004
1.764,0
1.877,0
2.004,0
2.102,0
2.182,0.001
2.297,-0.001
2.387,0.065
2.444,0.331
2.475,0.758
2.498,1.195
2.515,1.667
2.53,2.221
2.544,2.814
2.554,3.366
2.569,3.905
2.58,4.437
2.59,5.002
2.599,5.549
2.607,6.089
2.617,6.628
2.625,7.176
2.633,7.733
2.642,8.39
2.649,8.97
2.658,9.511
2.666,10.072
2.673,10.636
2.679,11.209
2.688,11.761
2.694,12.318
2.702,12.878
2.709,13.469
2.718,14.126
