Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.014,0.0,0.0,0.003,0.0,0.0,0.0006000000000000001
0.108,0.0,-0.0,-0.0,0.0,0.0,0.0
0.202,0.0,0.0,0.002,-0.001,0.0,0.0002
0.303,-0.0,0.0,0.0,0.0,0.0,0.0
0.4,-0.002,-0.001,0.0,-0.0,-0.001,-0.0008
0.494,-0.004,0.002,0.003,0.008,0.0,0.0018000000000000002
0.588,-0.003,0.0,-0.002,-0.002,-0.001,-0.0016
0.682,-0.008,-0.006,-0.006,-0.005,0.001,-0.0048000000000000004
0.787,-0.001,0.0,0.0,0.0,-0.001,-0.0004
0.899,0.001,-0.003,0.004,-0.002,-0.004,-0.0008
1.014,-0.004,0.0,-0.004,-0.0,-0.004,-0.0024000000000000002
1.102,0.0,-0.0,0.0,-0.001,-0.0,-0.0002
1.212,-0.002,-0.002,0.0,0.0,0.0,-0.0008
1.303,-0.0,-0.001,0.002,0.001,-0.0,0.0004
1.393,-0.002,-0.001,-0.003,0.002,0.007,0.0006000000000000001
1.498,0.001,0.004,0.005,-0.0,0.006,0.0032
1.587,0.011,0.009,0.011,0.011,0.005,0.009399999999999999
1.676,0.072,0.094,0.091,0.094,0.087,0.08759999999999998
1.75,0.28,0.266,0.266,0.269,0.266,0.2694
1.786,0.62,0.612,0.613,0.609,0.612,0.6132
1.829,1.152,1.172,1.155,1.17,1.148,1.1594
1.852,1.576,1.584,1.615,1.593,1.617,1.597
1.869,2.095,2.093,2.102,2.109,2.136,2.107
1.888,2.609,2.582,2.573,2.601,2.585,2.59
1.901,3.064,3.092,3.101,3.116,3.107,3.096
1.914,3.606,3.607,3.62,3.62,3.598,3.6102
1.933,4.142,4.133,4.15,4.149,4.123,4.1394
1.942,4.646,4.65,4.666,4.665,4.654,4.6562
1.958,5.19,5.197,5.194,5.189,5.195,5.193
1.97,5.704,5.72,5.729,5.732,5.732,5.7234
1.984,6.351,6.363,6.385,6.385,6.384,6.373600000000001
1.996,6.879,6.883,6.891,6.879,6.89,6.884399999999999
2.008,7.396,7.402,7.411,7.418,7.415,7.4084
2.018,7.935,7.924,7.947,7.942,7.957,7.941
2.029,8.482,8.474,8.482,8.481,8.485,8.480799999999999
2.039,9.036,9.034,9.029,9.033,9.033,9.033
2.05,9.56,9.564,9.564,9.565,9.567,9.564
2.059,10.107,10.105,10.1,10.1,10.1,10.1024
2.069,10.634,10.634,10.633,10.634,10.632,10.633399999999998
2.078,11.189,11.191,11.188,11.192,11.188,11.189600000000002
2.092,11.819,11.834,11.847,11.84,11.844,11.8368
2.099,12.36,12.371,12.375,12.371,12.368,12.369000000000002
2.109,12.923,12.928,12.934,12.927,12.928,12.928
2.117,13.462,13.466,13.456,13.463,13.461,13.4616
2.127,14.02,14.027,14.022,14.026,14.026,14.024199999999999
2.136,14.569,14.565,14.561,14.565,14.567,14.5654
2.146,15.104,15.105,15.11,15.118,15.125,15.112400000000003
2.155,15.665,15.672,15.673,15.68,15.682,15.6744
2.165,16.215,16.216,16.228,16.231,16.231,16.224200000000003
2.175,16.769,16.771,16.789,16.786,16.794,16.7818
2.185,17.437,17.441,17.44,17.437,17.441,17.4392
