Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.014,0.005,0.0,0.0,-0.003,-0.0,0.0004
0.108,0.0,-0.0,0.0,0.0,0.0,0.0
0.205,-0.001,0.0,0.0,0.001,0.0,0.0
0.301,0.0,-0.0,0.0,-0.0,0.0,0.0
0.401,-0.0,0.0,0.0,0.0,-0.0,0.0
0.496,-0.008,0.0,-0.001,-0.005,0.001,-0.0026000000000000003
0.585,-0.0,-0.0,-0.003,-0.002,-0.002,-0.0014
0.681,-0.009,-0.011,-0.011,-0.008,-0.008,-0.009399999999999999
0.792,0.0,-0.001,0.0,0.0,0.0,-0.0002
0.899,0.0,-0.0,-0.001,0.0,0.001,0.0
1.002,0.0,0.0,0.0,0.0,0.0,0.0
1.107,-0.002,0.0,0.0,0.0,0.002,0.0
1.212,-0.003,0.0,0.0,-0.0,-0.001,-0.0008
1.302,-0.003,0.003,-0.002,0.0,-0.001,-0.0006000000000000001
1.394,0.01,0.0,0.001,-0.0,0.004,0.003
1.496,-0.001,-0.004,0.001,0.002,-0.001,-0.0006000000000000001
1.583,0.0,-0.0,-0.002,-0.0,-0.002,-0.0008
1.684,0.0,-0.0,0.0,0.0,0.0,0.0
1.789,0.0,-0.0,0.0,0.001,0.0,0.0002
1.885,-0.002,0.0,-0.002,0.0,-0.002,-0.0012000000000000001
2.004,-0.0,0.002,0.0,-0.002,-0.0,0.0
2.104,0.001,-0.001,0.002,0.002,-0.005,-0.0002
2.195,-0.0,-0.001,-0.001,-0.002,0.002,-0.0004
2.301,-0.004,-0.002,0.001,0.0,-0.001,-0.0012000000000000001
2.389,0.011,0.011,0.012,0.011,0.018,0.0126
2.462,0.205,0.216,0.215,0.213,0.211,0.21200000000000002
2.501,0.608,0.605,0.587,0.601,0.599,0.6
2.523,1.069,1.054,1.048,1.051,1.058,1.056
2.539,1.548,1.536,1.535,1.549,1.55,1.5435999999999999
2.555,2.067,2.054,2.067,2.062,2.061,2.0622
2.57,2.696,2.682,2.703,2.684,2.696,2.6922
2.581,3.238,3.242,3.22,3.224,3.242,3.2332
2.591,3.793,3.787,3.792,3.775,3.786,3.7866
2.601,4.343,4.33,4.337,4.328,4.324,4.3324
2.61,4.886,4.881,4.882,4.873,4.874,4.879199999999999
2.62,5.414,5.41,5.417,5.407,5.407,5.411
2.629,5.958,5.966,5.962,5.958,5.957,5.9602
2.636,6.523,6.525,6.517,6.51,6.508,6.516600000000001
2.644,7.082,7.079,7.076,7.077,7.082,7.0792
2.651,7.631,7.629,7.621,7.624,7.622,7.625399999999999
2.66,8.306,8.308,8.299,8.305,8.294,8.3024
2.667,8.884,8.875,8.87,8.864,8.862,8.870999999999999
2.675,9.42,9.42,9.416,9.419,9.411,9.4172
2.681,9.987,9.988,9.978,9.984,9.979,9.9832
2.689,10.553,10.55,10.55,10.546,10.545,10.5488
2.696,11.106,11.102,11.104,11.1,11.1,11.1024
2.703,11.679,11.679,11.675,11.677,11.671,11.6762
2.71,12.24,12.236,12.236,12.243,12.239,12.238800000000001
2.718,12.803,12.803,12.802,12.801,12.802,12.8022
2.725,13.38,13.375,13.362,13.359,13.368,13.368800000000002
2.733,14.05,14.048,14.047,14.042,14.039,14.0452
