Voltage (V),Current (mA)
0.011,0.005
0.105,-0.0
0.205,0.002
0.302,0.002
0.398,-0.017
0.487,-0.004
0.58,-0.001
0.68,-0.003
0.78,0.0
0.891,-0.0
1.0,-0.004
1.108,0.001
1.189,-0.02
1.3,0.0
1.398,-0.003
1.496,0.003
1.57,-0.007
1.691,0.0
1.771,0.0
1.881,0.0
2.004,-0.002
2.079,-0.0
2.2,-0.007
2.298,0.0
2.368,0.052
2.447,0.309
2.478,0.736
2.501,1.197
2.517,1.699
2.532,2.193
2.547,2.799
2.561,3.326
2.573,3.897
2.58,4.431
2.594,4.965
2.603,5.509
2.611,6.046
2.62,6.606
2.63,7.139
2.638,7.701
2.648,8.361
2.654,8.941
2.663,9.478
2.669,10.04
2.678,10.596
2.686,11.181
2.694,11.725
2.7,12.287
2.708,12.853
2.716,13.421
2.724,14.084
