Voltage (V),Current (mA)
0.014,0.002
0.108,0.0
0.204,-0.001
0.303,0.0
0.397,0.001
0.489,0.002
0.587,0.0
0.677,-0.001
0.792,0.0
0.893,0.0
1.011,-0.001
1.105,0.003
1.205,0.01
1.3,0.0
1.396,0.0
1.479,0.101
1.554,0.239
1.588,0.583
1.618,1.124
1.639,1.55
1.657,2.137
1.681,2.604
1.694,3.135
1.71,3.663
1.72,4.203
1.731,4.708
1.743,5.252
1.759,5.768
1.77,6.315
1.782,6.861
1.794,7.504
1.802,8.05
1.817,8.559
1.827,9.102
1.838,9.629
1.848,10.166
1.857,10.719
1.867,11.248
1.877,11.812
1.886,12.333
1.897,12.996
1.907,13.533
1.917,14.075
1.926,14.632
1.936,15.152
1.944,15.707
1.954,16.274
1.963,16.841
1.974,17.384
1.984,17.945
1.994,18.608
