Voltage (V),Current (mA)
0.014,0.001
0.108,0.0
0.204,0.0
0.303,0.0
0.401,-0.001
0.492,-0.004
0.587,0.0
0.677,-0.0
0.792,0.0
0.899,-0.001
1.003,0.001
1.1,0.001
1.206,0.005
1.29,0.0
1.398,0.0
1.486,0.083
1.554,0.244
1.593,0.597
1.615,1.106
1.637,1.491
1.66,2.085
1.679,2.639
1.693,3.131
1.711,3.632
1.725,4.164
1.733,4.727
1.745,5.23
1.761,5.755
1.773,6.299
1.784,6.831
1.797,7.478
1.808,8.017
1.819,8.541
1.828,9.084
1.84,9.623
1.85,10.155
1.86,10.717
1.87,11.246
1.879,11.815
1.889,12.338
1.901,12.954
1.91,13.5
1.919,14.051
1.927,14.635
1.937,15.158
1.946,15.724
1.955,16.276
1.966,16.814
1.975,17.387
1.984,17.933
1.996,18.603
