Voltage (V),Current (mA)
0.014,-0.002
0.108,0.0
0.205,0.0
0.302,-0.0
0.401,0.002
0.49,0.0
0.587,0.0
0.679,-0.001
0.792,0.0
0.899,0.0
1.011,0.0
1.105,-0.0
1.206,-0.005
1.298,-0.002
1.396,-0.001
1.477,0.107
1.551,0.236
1.589,0.587
1.616,1.125
1.636,1.56
1.662,2.118
1.676,2.628
1.69,3.163
1.705,3.65
1.716,4.198
1.734,4.696
1.741,5.268
1.754,5.784
1.769,6.303
1.78,6.877
1.794,7.513
1.804,8.049
1.815,8.577
1.823,9.132
1.837,9.647
1.847,10.173
1.857,10.715
1.867,11.253
1.877,11.816
1.885,12.345
1.896,13.001
1.906,13.538
1.915,14.083
1.924,14.645
1.935,15.164
1.943,15.737
1.953,16.29
1.961,16.854
1.971,17.401
1.981,17.963
1.994,18.605
