Voltage (V),Current (mA)
0.014,-0.001
0.108,0.0
0.205,0.001
0.303,-0.0
0.401,0.0
0.487,-0.012
0.587,0.0
0.678,-0.001
0.788,0.0
0.899,-0.001
1.011,-0.0
1.105,0.002
1.204,-0.002
1.296,0.0
1.394,0.0
1.475,0.097
1.554,0.241
1.588,0.587
1.612,1.124
1.64,1.517
1.661,2.149
1.681,2.607
1.695,3.139
1.708,3.64
1.721,4.199
1.731,4.717
1.746,5.254
1.756,5.769
1.77,6.312
1.781,6.832
1.793,7.514
1.802,8.045
1.816,8.555
1.828,9.095
1.838,9.635
1.848,10.17
1.857,10.729
1.867,11.256
1.877,11.814
1.887,12.331
1.897,12.997
1.907,13.535
1.916,14.075
1.926,14.627
1.936,15.155
1.944,15.716
1.955,16.276
1.963,16.834
1.974,17.384
1.984,17.94
1.994,18.61
