Voltage (V),Current (mA)
0.015,0.0
0.107,-0.0
0.205,0.0
0.3,0.0
0.394,-0.001
0.49,-0.013
0.582,0.0
0.679,-0.001
0.792,0.0
0.899,-0.002
1.01,0.001
1.105,0.001
1.205,0.007
1.3,-0.001
1.398,0.0
1.495,-0.003
1.593,0.0
1.689,-0.002
1.789,0.0
1.887,-0.002
1.993,0.0
2.1,0.0
2.194,-0.0
2.296,0.013
2.366,0.181
2.401,0.591
2.421,1.063
2.444,1.551
2.459,2.05
2.471,2.564
2.488,3.18
2.498,3.753
2.509,4.285
2.517,4.833
2.528,5.371
2.537,5.914
2.546,6.458
2.554,7.023
2.562,7.565
2.57,8.113
2.578,8.787
2.586,9.338
2.593,9.937
2.6,10.46
2.607,11.053
2.614,11.59
2.62,12.182
2.629,12.721
2.635,13.302
2.642,13.876
2.65,14.557
