Voltage (V),Current (mA)
0.014,-0.001
0.107,-0.0
0.203,0.001
0.302,0.0
0.401,0.0
0.492,-0.003
0.585,-0.0
0.679,-0.001
0.792,0.0
0.892,0.0
1.011,0.001
1.099,0.0
1.193,0.002
1.3,-0.002
1.398,0.0
1.495,-0.004
1.591,-0.0
1.691,0.0
1.782,-0.002
1.884,0.0
2.004,0.0
2.091,0.0
2.199,0.0
2.287,0.017
2.361,0.184
2.401,0.593
2.425,1.067
2.444,1.554
2.459,2.029
2.473,2.56
2.486,3.193
2.498,3.743
2.507,4.291
2.518,4.828
2.529,5.366
2.538,5.912
2.546,6.454
2.554,7.018
2.562,7.567
2.569,8.112
2.578,8.781
2.586,9.335
2.592,9.94
2.6,10.463
2.607,11.051
2.614,11.587
2.621,12.179
2.628,12.73
2.635,13.3
2.642,13.876
2.65,14.555
