Voltage (V),Current (mA)
0.015,-0.0
0.106,0.0
0.205,-0.004
0.303,0.0
0.401,0.001
0.491,-0.013
0.585,-0.0
0.677,-0.0
0.787,0.0
0.899,-0.001
1.011,0.002
1.105,0.0
1.203,-0.001
1.3,0.0
1.387,0.0
1.489,0.001
1.581,0.0
1.691,0.0
1.776,0.0
1.873,-0.002
1.995,-0.0
2.091,0.0
2.199,-0.0
2.296,0.017
2.366,0.196
2.401,0.594
2.425,1.068
2.444,1.551
2.456,2.035
2.471,2.558
2.488,3.172
2.498,3.726
2.509,4.295
2.518,4.831
2.528,5.375
2.537,5.914
2.546,6.454
2.554,7.025
2.561,7.573
2.571,8.112
2.577,8.788
2.586,9.338
2.592,9.933
2.6,10.462
2.606,11.05
2.614,11.598
2.62,12.176
2.628,12.732
2.634,13.298
2.642,13.877
2.649,14.562
