Voltage (V),Current (mA)
0.014,0.002
0.106,0.0
0.205,-0.003
0.303,0.0
0.4,-0.0
0.486,-0.006
0.583,0.0
0.679,0.0
0.784,0.0
0.891,0.001
1.011,0.002
1.105,-0.003
1.205,-0.001
1.3,-0.001
1.392,-0.003
1.496,0.0
1.586,0.0
1.681,-0.002
1.789,-0.002
1.874,-0.002
2.004,0.001
2.102,0.0
2.199,0.0
2.293,0.02
2.366,0.196
2.402,0.576
2.425,1.067
2.443,1.543
2.456,2.052
2.47,2.559
2.488,3.196
2.497,3.749
2.508,4.29
2.519,4.829
2.528,5.368
2.537,5.911
2.546,6.462
2.554,7.019
2.561,7.575
2.57,8.11
2.578,8.783
2.586,9.336
2.592,9.937
2.6,10.463
2.607,11.051
2.615,11.588
2.62,12.18
2.628,12.723
2.635,13.301
2.642,13.877
2.65,14.555
