Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.013,0.004,-0.004,0.005,-0.001,0.003,0.0014
0.108,0.0,0.0,-0.0,0.0,0.0,0.0
0.202,-0.001,0.0,0.0,0.0,0.0,-0.0002
0.303,0.0,0.0,-0.0,0.0,0.0,0.0
0.398,-0.001,-0.002,0.0,0.0,0.0,-0.0006000000000000001
0.492,0.004,-0.001,-0.01,-0.002,-0.01,-0.0038000000000000004
0.587,0.001,0.0,-0.001,0.0,0.001,0.0002
0.68,-0.0,-0.001,0.001,0.001,-0.002,-0.0002
0.784,-0.001,0.0,0.0,0.0,0.0,-0.0002
0.892,0.0,0.0,0.0,-0.002,-0.002,-0.0008
1.012,0.0,-0.002,-0.0,-0.002,0.0,-0.0008
1.109,0.0,-0.002,-0.0,0.0,-0.0,-0.0004
1.212,0.0,0.0,0.0,0.0,0.0,0.0
1.293,-0.0,0.002,0.002,0.002,-0.001,0.001
1.398,0.009,0.003,0.002,0.005,0.001,0.004
1.494,0.004,0.018,0.084,0.075,0.079,0.052000000000000005
1.556,0.243,0.262,0.246,0.256,0.246,0.25060000000000004
1.603,0.554,0.538,0.616,0.601,0.608,0.5834
1.632,0.966,0.98,1.075,1.07,1.057,1.0295999999999998
1.652,1.468,1.467,1.505,1.49,1.467,1.4794
1.668,2.109,2.11,2.076,2.072,2.083,2.0900000000000003
1.684,2.582,2.569,2.594,2.589,2.578,2.5824
1.707,3.049,3.11,3.13,3.128,3.1,3.1033999999999997
1.72,3.617,3.6,3.667,3.645,3.623,3.6304000000000003
1.73,4.144,4.13,4.165,4.159,4.155,4.1506
1.74,4.666,4.677,4.694,4.696,4.675,4.6815999999999995
1.758,5.194,5.224,5.204,5.224,5.212,5.2116
1.769,5.722,5.724,5.74,5.767,5.767,5.744
1.781,6.284,6.276,6.303,6.266,6.287,6.283199999999999
1.793,6.801,6.813,6.837,6.813,6.818,6.8164
1.803,7.478,7.457,7.486,7.486,7.479,7.477200000000001
1.815,7.969,8.008,8.014,8.0,8.005,7.9992
1.824,8.526,8.543,8.527,8.542,8.541,8.5358
1.838,9.048,9.076,9.075,9.078,9.076,9.0706
1.848,9.581,9.602,9.628,9.631,9.629,9.6142
1.857,10.125,10.122,10.167,10.169,10.166,10.149799999999999
1.867,10.668,10.674,10.704,10.703,10.702,10.690199999999999
1.877,11.223,11.231,11.252,11.248,11.25,11.2408
1.886,11.744,11.77,11.781,11.779,11.778,11.770399999999999
1.897,12.294,12.308,12.324,12.325,12.323,12.314800000000002
1.907,12.949,12.952,12.974,12.984,12.982,12.968200000000001
1.916,13.483,13.498,13.517,13.52,13.524,13.5084
1.926,14.041,14.053,14.059,14.06,14.061,14.0548
1.936,14.568,14.581,14.614,14.611,14.61,14.596800000000002
1.944,15.13,15.141,15.146,15.148,15.15,15.143
1.954,15.66,15.679,15.694,15.69,15.691,15.6828
1.962,16.261,16.273,16.266,16.264,16.267,16.266199999999998
1.972,16.794,16.808,16.805,16.8,16.8,16.8014
1.982,17.338,17.352,17.363,17.353,17.351,17.3514
1.992,17.907,17.91,17.907,17.913,17.909,17.9092
2.004,18.547,18.559,18.576,18.581,18.579,18.568400000000004
