Voltage (V),Current (mA)
0.014,0.001
0.108,-0.0
0.205,0.002
0.302,0.001
0.398,-0.003
0.489,0.002
0.587,0.0
0.669,0.002
0.778,-0.002
0.898,0.0
1.012,-0.004
1.104,-0.005
1.185,-0.01
1.301,-0.002
1.399,-0.003
1.495,0.0
1.592,0.0
1.691,0.017
1.767,0.147
1.814,0.481
1.857,0.891
1.882,1.355
1.891,1.829
1.921,2.333
1.937,2.829
1.953,3.37
1.966,3.848
1.98,4.408
1.994,4.949
2.004,5.47
2.018,6.101
2.033,6.63
2.041,7.165
2.052,7.695
2.067,8.218
2.077,8.758
2.087,9.301
2.097,9.831
2.107,10.362
2.116,10.902
2.129,11.568
2.137,12.123
2.148,12.653
2.156,13.214
2.165,13.742
2.176,14.315
2.185,14.848
2.194,15.398
2.204,15.965
2.214,16.517
2.224,17.177
