Voltage (V),Current (mA)
0.0,0.09
0.039,0.399
0.069,0.875
0.113,1.129
0.147,1.561
0.186,1.952
0.225,2.199
0.264,2.546
0.297,2.982
0.35,3.428
0.375,3.984
0.427,4.203
0.465,4.584
0.499,4.978
0.538,5.32
0.577,5.65
0.612,6.083
0.634,6.514
0.67,6.89
0.714,7.309
0.757,7.732
0.797,8.059
0.828,8.439
0.862,8.792
0.904,9.182
0.941,9.531
0.982,9.928
1.018,10.314
1.056,10.674
1.095,11.084
1.137,11.529
1.178,11.879
1.217,12.268
1.251,12.658
1.291,13.011
1.329,13.379
1.364,13.776
1.403,14.125
1.442,14.47
1.478,14.849
1.521,15.329
1.559,15.688
1.599,16.031
1.634,16.414
1.672,16.814
1.71,17.166
1.746,17.558
1.785,17.937
1.824,18.315
1.862,18.68
1.906,19.155
