Voltage (V),Current (mA)
0.0,0.094
0.039,0.391
0.068,0.876
0.113,1.124
0.147,1.563
0.186,1.951
0.225,2.195
0.264,2.551
0.296,2.975
0.342,3.441
0.382,4.001
0.43,4.203
0.468,4.6
0.49,4.973
0.533,5.319
0.572,5.652
0.611,6.084
0.64,6.528
0.679,6.892
0.714,7.31
0.759,7.751
0.797,8.065
0.835,8.452
0.87,8.802
0.909,9.189
0.948,9.531
0.982,9.924
1.021,10.304
1.058,10.683
1.094,11.087
1.139,11.524
1.177,11.886
1.217,12.267
1.251,12.658
1.29,13.014
1.329,13.379
1.365,13.777
1.403,14.124
1.442,14.467
1.478,14.851
1.521,15.331
1.559,15.689
1.6,16.031
1.634,16.413
1.673,16.809
1.71,17.17
1.745,17.562
1.784,17.938
1.824,18.311
1.862,18.676
1.906,19.157
