Voltage (V),Current (mA)
0.0,0.094
0.039,0.391
0.069,0.871
0.114,1.117
0.146,1.56
0.186,1.937
0.225,2.199
0.264,2.545
0.303,2.981
0.339,3.438
0.377,3.998
0.43,4.203
0.469,4.583
0.497,4.977
0.534,5.318
0.577,5.662
0.612,6.087
0.637,6.525
0.679,6.892
0.714,7.295
0.757,7.748
0.796,8.064
0.828,8.457
0.87,8.806
0.909,9.179
0.948,9.531
0.982,9.926
1.018,10.309
1.056,10.683
1.095,11.085
1.139,11.535
1.178,11.885
1.217,12.265
1.251,12.659
1.29,13.012
1.329,13.382
1.364,13.776
1.403,14.125
1.442,14.467
1.478,14.857
1.52,15.33
1.559,15.69
1.598,16.031
1.634,16.413
1.673,16.81
1.71,17.164
1.746,17.558
1.784,17.937
1.824,18.308
1.862,18.674
1.906,19.154
