Voltage (V),Current (mA)
0.0,0.091
0.039,0.395
0.068,0.876
0.11,1.129
0.146,1.558
0.185,1.949
0.223,2.199
0.264,2.543
0.303,2.978
0.349,3.431
0.379,3.979
0.43,4.197
0.469,4.593
0.492,4.977
0.536,5.322
0.577,5.67
0.613,6.079
0.64,6.527
0.679,6.878
0.714,7.293
0.75,7.738
0.797,8.065
0.827,8.441
0.865,8.811
0.904,9.189
0.948,9.53
0.982,9.918
1.018,10.313
1.058,10.69
1.092,11.077
1.136,11.534
1.176,11.9
1.217,12.263
1.251,12.659
1.291,13.023
1.329,13.38
1.364,13.771
1.403,14.125
1.442,14.468
1.478,14.856
1.521,15.326
1.559,15.688
1.599,16.031
1.634,16.414
1.672,16.81
1.71,17.171
1.746,17.557
1.785,17.943
1.824,18.31
1.862,18.677
1.906,19.154
