Voltage (V),Current (mA)
0.014,-0.001
0.106,0.0
0.202,0.002
0.303,0.0
0.397,-0.0
0.491,-0.006
0.587,-0.001
0.678,-0.0
0.792,0.0
0.899,0.0
1.011,-0.001
1.101,-0.001
1.205,-0.001
1.3,0.0
1.398,0.001
1.49,0.0
1.593,0.0
1.674,0.093
1.737,0.267
1.789,0.591
1.817,1.13
1.848,1.581
1.867,2.096
1.886,2.555
1.902,3.061
1.919,3.573
1.935,4.064
1.949,4.594
1.961,5.116
1.979,5.629
1.994,6.252
2.009,6.753
2.019,7.309
2.032,7.82
2.046,8.344
2.058,8.883
2.07,9.415
2.082,9.922
2.094,10.45
2.106,10.958
2.118,11.632
2.13,12.127
2.141,12.707
2.152,13.24
2.163,13.768
2.174,14.316
2.185,14.855
2.195,15.394
2.207,15.964
2.219,16.476
2.233,17.113
