Voltage (V),Current (mA)
0.014,0.003
0.108,-0.0
0.202,-0.001
0.303,0.0
0.401,-0.0
0.49,0.007
0.587,0.0
0.679,0.0
0.792,-0.001
0.899,-0.001
1.011,-0.003
1.096,-0.001
1.197,0.002
1.3,0.0
1.398,0.0
1.496,0.0
1.593,0.0
1.669,0.092
1.742,0.296
1.789,0.585
1.82,1.163
1.847,1.56
1.864,2.077
1.886,2.549
1.901,3.061
1.918,3.603
1.934,4.053
1.949,4.606
1.962,5.104
1.977,5.656
1.993,6.263
2.004,6.75
2.019,7.31
2.031,7.823
2.044,8.357
2.058,8.874
2.069,9.428
2.082,9.924
2.093,10.458
2.105,10.967
2.118,11.633
2.129,12.144
2.14,12.709
2.151,13.237
2.162,13.774
2.174,14.327
2.185,14.853
2.195,15.396
2.206,15.974
2.219,16.479
2.231,17.13
