Voltage (V),Current (mA)
0.014,0.001
0.107,0.0
0.204,0.0
0.303,-0.0
0.399,0.0
0.493,-0.0
0.587,0.0
0.679,-0.001
0.79,0.0
0.899,-0.003
1.006,0.001
1.105,-0.002
1.204,0.004
1.3,0.0
1.398,-0.002
1.496,-0.003
1.593,0.0
1.68,0.089
1.745,0.257
1.784,0.594
1.819,1.126
1.848,1.573
1.867,2.097
1.886,2.572
1.903,3.058
1.92,3.564
1.935,4.069
1.947,4.595
1.964,5.117
1.979,5.625
1.994,6.254
2.008,6.765
2.02,7.313
2.033,7.82
2.046,8.341
2.058,8.881
2.07,9.411
2.083,9.925
2.094,10.449
2.106,10.961
2.117,11.637
2.131,12.131
2.141,12.705
2.151,13.241
2.163,13.768
2.175,14.317
2.185,14.853
2.195,15.395
2.208,15.956
2.219,16.478
2.233,17.111
