Voltage (V),Current (mA)
0.015,-0.003
0.108,0.0
0.205,0.0
0.302,0.0
0.401,0.002
0.492,-0.014
0.587,-0.001
0.68,-0.001
0.785,0.0
0.899,0.0
1.001,0.001
1.105,-0.001
1.205,0.003
1.292,0.0
1.398,-0.0
1.496,0.0
1.593,0.0
1.681,0.091
1.74,0.292
1.789,0.588
1.813,1.162
1.847,1.557
1.86,2.058
1.886,2.55
1.897,3.057
1.916,3.598
1.935,4.081
1.95,4.601
1.962,5.124
1.977,5.644
1.992,6.246
2.007,6.775
2.019,7.311
2.032,7.821
2.045,8.356
2.058,8.878
2.069,9.424
2.082,9.929
2.093,10.454
2.105,10.974
2.117,11.634
2.13,12.148
2.141,12.709
2.151,13.241
2.162,13.781
2.173,14.324
2.185,14.85
2.195,15.4
2.206,15.967
2.219,16.486
2.232,17.129
