Voltage (V),Current (mA)
0.014,0.001
0.108,-0.0
0.205,0.003
0.298,-0.001
0.396,-0.002
0.483,0.0
0.585,-0.001
0.681,-0.009
0.782,0.0
0.9,-0.001
0.989,-0.0
1.109,0.001
1.211,0.002
1.285,-0.007
1.399,-0.002
1.485,0.0
1.589,0.0
1.672,0.01
1.765,0.148
1.814,0.484
1.856,0.95
1.881,1.426
1.892,1.844
1.921,2.346
1.924,2.859
1.948,3.392
1.965,3.86
1.979,4.423
1.993,4.956
2.001,5.451
2.019,6.071
2.032,6.635
2.039,7.163
2.054,7.708
2.066,8.229
2.077,8.755
2.087,9.298
2.097,9.831
2.107,10.365
2.116,10.902
2.129,11.57
2.136,12.12
2.147,12.658
2.156,13.212
2.166,13.739
2.177,14.315
2.185,14.849
2.194,15.41
2.204,15.971
2.213,16.522
2.224,17.177
