Voltage (V),Current (mA)
0.015,-0.001
0.106,-0.0
0.203,-0.002
0.301,-0.0
0.401,0.0
0.493,0.005
0.587,-0.0
0.678,-0.001
0.792,0.0
0.899,0.0
1.011,-0.001
1.105,-0.001
1.202,-0.001
1.3,0.0
1.398,-0.002
1.496,-0.003
1.588,0.0
1.679,-0.002
1.782,0.0
1.876,-0.0
2.004,0.0
2.096,0.0
2.193,0.0
2.29,-0.002
2.39,0.037
2.453,0.241
2.491,0.615
2.514,1.08
2.532,1.595
2.549,2.096
2.563,2.731
2.575,3.27
2.585,3.794
2.595,4.348
2.605,4.893
2.613,5.458
2.621,6.003
2.63,6.547
2.637,7.111
2.645,7.673
2.654,8.332
2.659,8.89
2.669,9.447
2.674,10.011
2.682,10.598
2.689,11.142
2.696,11.72
2.704,12.268
2.71,12.854
2.717,13.405
2.726,14.081
