Voltage (V),Current (mA)
0.015,-0.003
0.106,0.0
0.202,0.0
0.303,0.0
0.401,0.002
0.491,-0.001
0.585,0.0
0.676,-0.0
0.788,0.0
0.89,0.0
1.01,-0.0
1.105,0.0
1.198,0.003
1.3,0.0
1.398,0.0
1.49,0.001
1.587,0.0
1.689,0.0
1.789,0.0
1.883,-0.002
2.004,-0.001
2.099,-0.002
2.199,-0.001
2.286,0.0
2.39,0.042
2.459,0.237
2.489,0.613
2.515,1.067
2.534,1.59
2.548,2.101
2.563,2.732
2.575,3.272
2.585,3.802
2.594,4.355
2.603,4.912
2.612,5.458
2.621,6.001
2.629,6.556
2.637,7.116
2.644,7.674
2.654,8.334
2.66,8.894
2.668,9.447
2.674,10.017
2.681,10.593
2.688,11.144
2.695,11.72
2.703,12.267
2.709,12.854
2.717,13.413
2.726,14.089
