Voltage (V),Current (mA)
0.015,-0.001
0.108,0.0
0.205,0.0
0.303,0.0
0.397,-0.002
0.489,0.007
0.587,-0.001
0.68,0.0
0.792,-0.001
0.898,0.0
0.999,-0.003
1.105,0.001
1.198,-0.003
1.3,0.0
1.39,0.0
1.495,0.0
1.593,-0.002
1.691,0.0
1.789,0.0
1.88,0.0
2.004,0.0
2.101,0.0
2.195,-0.0
2.295,0.0
2.391,0.049
2.458,0.236
2.493,0.63
2.517,1.076
2.534,1.601
2.548,2.099
2.563,2.72
2.575,3.257
2.585,3.812
2.595,4.351
2.604,4.898
2.613,5.453
2.62,6.008
2.629,6.554
2.636,7.122
2.644,7.671
2.654,8.337
2.659,8.892
2.669,9.456
2.674,10.014
2.682,10.593
2.689,11.139
2.696,11.717
2.703,12.267
2.71,12.857
2.718,13.413
2.727,14.084
