Voltage (V),Current (mA)
0.014,-0.002
0.108,-0.0
0.205,0.001
0.303,0.0
0.401,0.0
0.492,-0.004
0.587,-0.001
0.678,0.0
0.786,0.0
0.899,-0.001
1.011,-0.002
1.099,-0.001
1.204,0.0
1.3,0.0
1.388,0.0
1.487,0.0
1.589,0.0
1.691,0.0
1.78,-0.002
1.887,0.0
2.004,0.0
2.091,0.001
2.199,0.0
2.292,0.0
2.39,0.042
2.453,0.242
2.495,0.621
2.514,1.073
2.535,1.584
2.549,2.079
2.563,2.701
2.574,3.27
2.586,3.812
2.595,4.349
2.605,4.89
2.614,5.443
2.621,6.005
2.63,6.545
2.638,7.11
2.645,7.669
2.655,8.333
2.661,8.89
2.668,9.436
2.675,10.019
2.682,10.587
2.689,11.143
2.697,11.717
2.703,12.264
2.711,12.839
2.718,13.408
2.726,14.076
