Voltage (V),Current (mA)
0.106,-0.0
0.205,0.002
0.298,0.0
0.4,-0.007
0.496,0.0
0.588,0.004
0.683,-0.002
0.792,-0.002
0.902,-0.001
1.013,-0.0
1.104,0.0
1.212,0.0
1.305,-0.0
1.404,0.036
1.479,0.023
1.554,0.276
1.593,0.63
1.623,1.027
1.64,1.558
1.672,2.087
1.682,2.619
1.697,3.165
1.711,3.66
1.715,4.185
1.738,4.687
1.747,5.262
1.762,5.795
1.768,6.31
1.782,6.853
1.799,7.488
1.808,8.041
1.819,8.578
1.829,9.112
1.84,9.663
1.851,10.202
1.861,10.734
1.87,11.279
1.879,11.812
1.889,12.352
1.901,12.989
1.911,13.542
1.92,14.084
1.928,14.655
1.936,15.185
1.946,15.734
1.955,16.3
1.965,16.837
1.975,17.399
1.984,17.943
1.996,18.612
