Voltage (V),Current (mA)
0.014,0.0
0.107,0.0
0.205,0.0
0.302,-0.0
0.401,-0.002
0.493,-0.006
0.587,0.0
0.68,-0.003
0.792,0.0
0.895,0.0
1.006,0.0
1.099,-0.001
1.209,0.002
1.291,0.0
1.392,0.0
1.496,-0.002
1.593,0.0
1.689,-0.002
1.789,0.0
1.887,0.0
2.002,-0.003
2.102,-0.002
2.196,0.0
2.297,-0.001
2.393,0.025
2.459,0.202
2.498,0.6
2.518,1.066
2.539,1.558
2.553,2.086
2.568,2.717
2.58,3.222
2.59,3.772
2.6,4.315
2.61,4.868
2.618,5.414
2.626,5.958
2.634,6.503
2.643,7.085
2.649,7.624
2.659,8.309
2.665,8.871
2.674,9.421
2.679,9.986
2.687,10.562
2.694,11.111
2.702,11.691
2.708,12.243
2.717,12.818
2.722,13.381
2.732,14.042
