Voltage (V),Current (mA)
0.015,-0.0
0.108,0.0
0.205,-0.001
0.303,0.0
0.396,-0.001
0.491,0.002
0.583,0.0
0.678,-0.001
0.792,0.0
0.893,0.0
1.012,-0.0
1.098,-0.0
1.208,-0.001
1.29,0.0
1.394,0.0
1.496,0.0
1.593,-0.001
1.691,0.0
1.778,0.0
1.882,-0.002
2.004,0.0
2.102,-0.001
2.193,-0.0
2.297,-0.0
2.382,0.021
2.459,0.191
2.499,0.6
2.519,1.042
2.536,1.54
2.554,2.071
2.566,2.714
2.58,3.209
2.59,3.752
2.6,4.314
2.61,4.869
2.619,5.404
2.626,5.959
2.635,6.505
2.642,7.077
2.65,7.623
2.659,8.309
2.666,8.865
2.674,9.416
2.68,9.983
2.688,10.558
2.695,11.113
2.702,11.686
2.709,12.242
2.716,12.817
2.723,13.383
2.732,14.042
