Voltage (V),Current (mA)
0.015,-0.002
0.106,0.0
0.205,-0.001
0.303,0.0
0.401,0.0
0.492,0.0
0.587,0.0
0.679,-0.001
0.792,-0.001
0.899,0.0
1.012,-0.001
1.106,-0.002
1.208,0.005
1.291,-0.0
1.398,0.0
1.496,0.001
1.589,0.0
1.686,-0.002
1.789,0.0
1.886,0.0
2.003,0.0
2.102,0.0
2.188,0.0
2.297,0.0
2.384,0.028
2.463,0.202
2.496,0.617
2.522,1.042
2.537,1.561
2.552,2.073
2.568,2.701
2.579,3.241
2.59,3.778
2.6,4.311
2.609,4.869
2.617,5.41
2.625,5.958
2.634,6.503
2.642,7.094
2.65,7.623
2.659,8.315
2.665,8.868
2.672,9.428
2.679,9.983
2.687,10.573
2.694,11.112
2.701,11.7
2.708,12.243
2.715,12.831
2.722,13.391
2.731,14.036
