Voltage (V),Current (mA)
0.014,0.002
0.108,0.0
0.205,-0.0
0.3,0.0
0.401,-0.001
0.493,-0.007
0.587,0.0
0.68,-0.0
0.792,0.0
0.894,0.0
1.011,0.0
1.105,-0.001
1.203,-0.008
1.296,0.0
1.389,0.0
1.496,-0.002
1.575,0.098
1.65,0.285
1.691,0.617
1.718,1.075
1.742,1.643
1.76,2.144
1.77,2.686
1.789,3.156
1.803,3.694
1.814,4.237
1.827,4.745
1.837,5.283
1.848,5.818
1.858,6.395
1.872,7.022
1.881,7.555
1.89,8.098
1.9,8.657
1.909,9.215
1.916,9.762
1.926,10.308
1.935,10.85
1.942,11.397
1.95,11.931
1.96,12.605
1.969,13.156
1.975,13.72
1.984,14.272
1.991,14.846
1.999,15.395
2.009,15.939
2.016,16.502
2.024,17.062
2.033,17.63
2.043,18.292
