Voltage (V),Current (mA)
0.014,-0.001
0.107,-0.0
0.205,0.0
0.302,0.0
0.401,-0.0
0.491,0.001
0.585,0.0
0.676,0.0
0.792,0.0
0.899,0.0
1.011,-0.003
1.103,-0.001
1.206,-0.006
1.3,0.0
1.398,0.0
1.484,-0.0
1.584,0.097
1.644,0.285
1.684,0.622
1.718,1.075
1.741,1.657
1.759,2.149
1.77,2.666
1.789,3.177
1.802,3.701
1.813,4.246
1.826,4.76
1.835,5.257
1.847,5.831
1.856,6.397
1.871,7.031
1.88,7.554
1.889,8.109
1.897,8.668
1.908,9.213
1.916,9.76
1.926,10.305
1.934,10.857
1.942,11.399
1.95,11.932
1.961,12.605
1.969,13.168
1.976,13.723
1.984,14.28
1.99,14.838
1.999,15.393
2.008,15.942
2.016,16.512
2.024,17.065
2.033,17.632
2.043,18.294
