Voltage (V),Current (mA)
0.014,0.001
0.107,0.0
0.205,0.0
0.303,0.0
0.401,-0.001
0.489,-0.009
0.587,0.0
0.677,-0.002
0.792,-0.001
0.894,0.0
1.011,-0.001
1.096,-0.003
1.205,0.003
1.3,0.0
1.398,-0.002
1.488,-0.0
1.584,0.098
1.652,0.29
1.691,0.602
1.72,1.06
1.739,1.66
1.76,2.147
1.774,2.678
1.789,3.153
1.795,3.7
1.813,4.248
1.823,4.781
1.836,5.3
1.847,5.825
1.857,6.384
1.87,7.029
1.877,7.571
1.886,8.111
1.896,8.671
1.906,9.206
1.916,9.75
1.925,10.304
1.933,10.879
1.94,11.398
1.95,11.928
1.96,12.601
1.967,13.181
1.975,13.721
1.983,14.296
1.99,14.841
1.999,15.39
2.007,15.947
2.015,16.512
2.023,17.063
2.032,17.636
2.042,18.297
