Voltage (V),Current (mA)
0.014,0.0
0.107,-0.0
0.205,0.001
0.303,0.0
0.399,0.0
0.493,0.003
0.587,-0.0
0.68,0.001
0.792,0.0
0.89,0.0
1.011,0.001
1.105,0.0
1.199,-0.002
1.3,0.0
1.398,0.0
1.496,0.002
1.584,0.093
1.645,0.287
1.683,0.598
1.72,1.075
1.734,1.653
1.753,2.142
1.774,2.685
1.789,3.177
1.801,3.69
1.809,4.238
1.826,4.765
1.837,5.265
1.845,5.823
1.855,6.395
1.871,7.011
1.88,7.561
1.89,8.108
1.897,8.665
1.908,9.21
1.916,9.757
1.926,10.304
1.935,10.858
1.941,11.4
1.95,11.93
1.96,12.606
1.968,13.172
1.975,13.718
1.984,14.279
1.991,14.839
2.0,15.392
2.009,15.936
2.015,16.509
2.024,17.061
2.033,17.63
2.043,18.284
