Voltage (V),Current (mA)
0.0,0.065
0.037,0.403
0.069,0.868
0.111,1.134
0.148,1.55
0.186,1.862
0.225,2.188
0.262,2.572
0.301,2.986
0.35,3.44
0.383,3.998
0.42,4.19
0.455,4.609
0.496,4.964
0.538,5.318
0.576,5.634
0.591,6.103
0.641,6.535
0.666,6.902
0.704,7.294
0.76,7.674
0.797,8.056
0.834,8.443
0.859,8.8
0.909,9.159
0.948,9.532
0.981,9.923
1.02,10.305
1.056,10.687
1.093,11.076
1.139,11.534
1.172,11.874
1.216,12.25
1.247,12.654
1.29,13.012
1.328,13.381
1.366,13.757
1.403,14.121
1.441,14.48
1.477,14.853
1.521,15.302
1.561,15.68
1.598,16.035
1.635,16.42
1.672,16.814
1.707,17.184
1.746,17.549
1.784,17.932
1.823,18.292
1.862,18.682
1.906,19.141
