Voltage (V),Current (mA)
0.0,0.088
0.038,0.406
0.069,0.866
0.107,1.123
0.148,1.548
0.182,1.875
0.224,2.189
0.262,2.561
0.295,2.987
0.35,3.419
0.376,3.96
0.43,4.203
0.468,4.602
0.486,4.96
0.534,5.315
0.577,5.67
0.611,6.125
0.635,6.515
0.676,6.869
0.714,7.265
0.76,7.716
0.797,8.065
0.818,8.458
0.863,8.791
0.909,9.137
0.937,9.509
0.983,9.925
1.019,10.326
1.055,10.682
1.09,11.071
1.138,11.528
1.178,11.885
1.216,12.266
1.251,12.657
1.29,13.009
1.327,13.375
1.365,13.752
1.404,14.122
1.442,14.476
1.477,14.858
1.523,15.305
1.56,15.681
1.598,16.033
1.633,16.419
1.67,16.816
1.708,17.184
1.748,17.547
1.784,17.931
1.823,18.297
1.861,18.682
1.906,19.141
